# CVS $Revision: 21789 $ $Author: amaitland $ -- Thu Feb 22 13:04:59 2007 -- reformated by prettylst.pl v1.36 (build 2045)
#SOURCELONG:Pathfinder Society Chronicle Sheets	SOURCESHORT:PFSCS	SOURCEWEB:http://www.mywebsite.com	SOURCEDATE:2008-01

ABILITYCATEGORY:Ocher Rhomboid Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Combat								PLURAL:Ocher Rhomboid Feats		DISPLAYLOCATION:Feats

# This ability pool hold the list of chronicle sheets
ABILITYCATEGORY:PFS Chronicle		VISIBLE:NO		EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:PFS Chronicle
ABILITYCATEGORY:Chronicle_PZO9545-09	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Spire Axis					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-09	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-10	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Magma Vault				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-10	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-11	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Tomb of Yarrix				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-11	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-12	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Automaton Forge				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-12	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-13	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Pleasure Gardens				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-13	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-14	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Throne of Azlant				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-14	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-15	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: Order and Chaos				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-15	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-16	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Emerald Root				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-16	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-17	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: Land Rush					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-17	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZOGWK0001-1	DISPLAYNAME:Pathfinder Online: Thornkeep The Accursed Halls								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZOGWK0001-1	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZOGWK0001-2	DISPLAYNAME:Pathfinder Online: Thornkeep The Forgotten Laboratory							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZOGWK0001-2	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZOGWK0001-3	DISPLAYNAME:Pathfinder Online: Thornkeep The Enigma Vaults								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZOGWK0001-3	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZOGWK0001-4	DISPLAYNAME:Pathfinder Online: Thornkeep The Dark Menagerie								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZOGWK0001-4	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZOGWK0001-5	DISPLAYNAME:Pathfinder Online: Thornkeep Sanctum of a Lost Age							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZOGWK0001-5	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

#
# DONE
#
